danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.707,0.5,1,-5.78,1,0.0296,0.895,4e-05,0.234,0.583,129.97,audio_features,2e1gUS6Wv8GS8ZT6FMeE1J,spotify:track:2e1gUS6Wv8GS8ZT6FMeE1J,https://api.spotify.com/v1/tracks/2e1gUS6Wv8GS8ZT6FMeE1J,https://api.spotify.com/v1/audio-analysis/2e1gUS6Wv8GS8ZT6FMeE1J,161561,4
0.54,0.54,3,-6.368,1,0.029,0.241,0.0,0.351,0.372,74.969,audio_features,72OVnXDzugvrCU25lMi9au,spotify:track:72OVnXDzugvrCU25lMi9au,https://api.spotify.com/v1/tracks/72OVnXDzugvrCU25lMi9au,https://api.spotify.com/v1/audio-analysis/72OVnXDzugvrCU25lMi9au,274400,4
0.382,0.543,4,-5.938,0,0.0345,0.313,2.1e-05,0.268,0.166,173.652,audio_features,6jNy9WM3zyvG9E5bdVALl8,spotify:track:6jNy9WM3zyvG9E5bdVALl8,https://api.spotify.com/v1/tracks/6jNy9WM3zyvG9E5bdVALl8,https://api.spotify.com/v1/audio-analysis/6jNy9WM3zyvG9E5bdVALl8,295466,4
0.654,0.227,2,-12.619,1,0.0298,0.906,2.14e-05,0.091,0.373,78.155,audio_features,4HMsQy6myJNy1GoCLsIDDR,spotify:track:4HMsQy6myJNy1GoCLsIDDR,https://api.spotify.com/v1/tracks/4HMsQy6myJNy1GoCLsIDDR,https://api.spotify.com/v1/audio-analysis/4HMsQy6myJNy1GoCLsIDDR,245232,4
0.537,0.385,3,-6.216,1,0.0391,0.841,0.0,0.0948,0.554,169.98,audio_features,1sWUT5hSawhEctQEQrVQdn,spotify:track:1sWUT5hSawhEctQEQrVQdn,https://api.spotify.com/v1/tracks/1sWUT5hSawhEctQEQrVQdn,https://api.spotify.com/v1/audio-analysis/1sWUT5hSawhEctQEQrVQdn,215333,4
0.329,0.309,0,-10.255,1,0.0355,0.816,0.0,0.141,0.496,172.599,audio_features,3ZxhAXfP2hP1z5eppR8RuS,spotify:track:3ZxhAXfP2hP1z5eppR8RuS,https://api.spotify.com/v1/tracks/3ZxhAXfP2hP1z5eppR8RuS,https://api.spotify.com/v1/audio-analysis/3ZxhAXfP2hP1z5eppR8RuS,227208,4
0.607,0.498,0,-6.363,1,0.0311,0.239,4.04e-06,0.313,0.714,164.993,audio_features,02xwA3Ej9NPetftp9V7VZ3,spotify:track:02xwA3Ej9NPetftp9V7VZ3,https://api.spotify.com/v1/tracks/02xwA3Ej9NPetftp9V7VZ3,https://api.spotify.com/v1/audio-analysis/02xwA3Ej9NPetftp9V7VZ3,298664,4
0.477,0.63,0,-5.193,1,0.0273,0.0167,0.0,0.0697,0.432,82.037,audio_features,6EsphRmNLyxtMdnzFL5AGQ,spotify:track:6EsphRmNLyxtMdnzFL5AGQ,https://api.spotify.com/v1/tracks/6EsphRmNLyxtMdnzFL5AGQ,https://api.spotify.com/v1/audio-analysis/6EsphRmNLyxtMdnzFL5AGQ,271287,4
0.24,0.469,3,-9.235,1,0.0361,0.753,2.05e-06,0.0917,0.24,154.969,audio_features,4cSCMlCcY65zlz1ZPhqsCe,spotify:track:4cSCMlCcY65zlz1ZPhqsCe,https://api.spotify.com/v1/tracks/4cSCMlCcY65zlz1ZPhqsCe,https://api.spotify.com/v1/audio-analysis/4cSCMlCcY65zlz1ZPhqsCe,309840,4
0.482,0.497,6,-5.764,1,0.0377,0.71,0.0,0.106,0.384,141.879,audio_features,1JqaW41fDKBFyVPQwmsoar,spotify:track:1JqaW41fDKBFyVPQwmsoar,https://api.spotify.com/v1/tracks/1JqaW41fDKBFyVPQwmsoar,https://api.spotify.com/v1/audio-analysis/1JqaW41fDKBFyVPQwmsoar,273267,4
0.684,0.619,10,-7.005,1,0.0386,0.0716,0.0,0.122,0.284,125.046,audio_features,630sXRhIcfwr2e4RdNtjKN,spotify:track:630sXRhIcfwr2e4RdNtjKN,https://api.spotify.com/v1/tracks/630sXRhIcfwr2e4RdNtjKN,https://api.spotify.com/v1/audio-analysis/630sXRhIcfwr2e4RdNtjKN,217440,4
0.607,0.926,5,-3.639,1,0.23,0.376,0.0,0.264,0.822,200.173,audio_features,6T7oK4eP3Tezw4Ogy7q6KO,spotify:track:6T7oK4eP3Tezw4Ogy7q6KO,https://api.spotify.com/v1/tracks/6T7oK4eP3Tezw4Ogy7q6KO,https://api.spotify.com/v1/audio-analysis/6T7oK4eP3Tezw4Ogy7q6KO,219627,4
0.695,0.54,4,-5.692,1,0.0493,0.299,0.0,0.367,0.415,121.932,audio_features,4fouWK6XVHhzl78KzQ1UjL,spotify:track:4fouWK6XVHhzl78KzQ1UjL,https://api.spotify.com/v1/tracks/4fouWK6XVHhzl78KzQ1UjL,https://api.spotify.com/v1/audio-analysis/4fouWK6XVHhzl78KzQ1UjL,168602,4
0.702,0.527,7,-6.332,1,0.0289,0.55,0.0,0.14,0.338,108.036,audio_features,3EohByRFmkLh1Upve1UpSC,spotify:track:3EohByRFmkLh1Upve1UpSC,https://api.spotify.com/v1/tracks/3EohByRFmkLh1Upve1UpSC,https://api.spotify.com/v1/audio-analysis/3EohByRFmkLh1Upve1UpSC,291893,3
0.734,0.536,11,-4.686,1,0.0318,0.601,0.0,0.1,0.591,114.036,audio_features,7DQOE8yIchm7bPPvJ0w6Bf,spotify:track:7DQOE8yIchm7bPPvJ0w6Bf,https://api.spotify.com/v1/tracks/7DQOE8yIchm7bPPvJ0w6Bf,https://api.spotify.com/v1/audio-analysis/7DQOE8yIchm7bPPvJ0w6Bf,180227,4
0.583,0.642,10,-8.501,1,0.0328,0.264,0.0,0.338,0.588,79.996,audio_features,6KjSRihg1U0Fn4kzrEuZb4,spotify:track:6KjSRihg1U0Fn4kzrEuZb4,https://api.spotify.com/v1/tracks/6KjSRihg1U0Fn4kzrEuZb4,https://api.spotify.com/v1/audio-analysis/6KjSRihg1U0Fn4kzrEuZb4,225375,4
0.55,0.543,8,-6.961,1,0.0268,0.769,0.0,0.0911,0.35,74.008,audio_features,2OR5FUKy3GQ7I9DCbRnfsW,spotify:track:2OR5FUKy3GQ7I9DCbRnfsW,https://api.spotify.com/v1/tracks/2OR5FUKy3GQ7I9DCbRnfsW,https://api.spotify.com/v1/audio-analysis/2OR5FUKy3GQ7I9DCbRnfsW,278914,4
0.547,0.666,6,-5.694,1,0.0393,0.4,0.0,0.144,0.43,129.814,audio_features,69zgyr5HVKdInjeKpq1qHa,spotify:track:69zgyr5HVKdInjeKpq1qHa,https://api.spotify.com/v1/tracks/69zgyr5HVKdInjeKpq1qHa,https://api.spotify.com/v1/audio-analysis/69zgyr5HVKdInjeKpq1qHa,239795,4
0.445,0.509,2,-7.483,1,0.0494,0.718,2.89e-06,0.384,0.332,170.072,audio_features,2tZHRTuqQI2roREgDVtlHA,spotify:track:2tZHRTuqQI2roREgDVtlHA,https://api.spotify.com/v1/tracks/2tZHRTuqQI2roREgDVtlHA,https://api.spotify.com/v1/audio-analysis/2tZHRTuqQI2roREgDVtlHA,143173,4
0.617,0.741,2,-3.97,1,0.0311,0.131,0.0,0.0772,0.306,118.984,audio_features,1D4PL9B8gOg78jiHg3FvBb,spotify:track:1D4PL9B8gOg78jiHg3FvBb,https://api.spotify.com/v1/tracks/1D4PL9B8gOg78jiHg3FvBb,https://api.spotify.com/v1/audio-analysis/1D4PL9B8gOg78jiHg3FvBb,236267,4
0.664,0.432,11,-7.406,1,0.0328,0.59,0.0,0.139,0.29,113.879,audio_features,57pUHpCltt09b5w1W6m9qb,spotify:track:57pUHpCltt09b5w1W6m9qb,https://api.spotify.com/v1/tracks/57pUHpCltt09b5w1W6m9qb,https://api.spotify.com/v1/audio-analysis/57pUHpCltt09b5w1W6m9qb,243442,4
0.636,0.332,7,-8.337,1,0.0312,0.679,0.0,0.126,0.506,78.949,audio_features,7j34mUd15g3RrhZzVx3CgB,spotify:track:7j34mUd15g3RrhZzVx3CgB,https://api.spotify.com/v1/tracks/7j34mUd15g3RrhZzVx3CgB,https://api.spotify.com/v1/audio-analysis/7j34mUd15g3RrhZzVx3CgB,136707,4
0.516,0.381,5,-7.418,1,0.0325,0.794,0.0,0.139,0.482,126.006,audio_features,5OtCJuUhazlTLwZMhXpiq2,spotify:track:5OtCJuUhazlTLwZMhXpiq2,https://api.spotify.com/v1/tracks/5OtCJuUhazlTLwZMhXpiq2,https://api.spotify.com/v1/audio-analysis/5OtCJuUhazlTLwZMhXpiq2,280600,4
0.658,0.338,10,-9.179,0,0.0525,0.945,6.46e-05,0.11,0.11,115.129,audio_features,3OWTiOvc1numNmjqpKfq3V,spotify:track:3OWTiOvc1numNmjqpKfq3V,https://api.spotify.com/v1/tracks/3OWTiOvc1numNmjqpKfq3V,https://api.spotify.com/v1/audio-analysis/3OWTiOvc1numNmjqpKfq3V,202347,4
0.771,0.382,4,-7.541,1,0.0316,0.56,0.0,0.222,0.342,94.032,audio_features,3HYsldPuR1FSOfxcKjwAvv,spotify:track:3HYsldPuR1FSOfxcKjwAvv,https://api.spotify.com/v1/tracks/3HYsldPuR1FSOfxcKjwAvv,https://api.spotify.com/v1/audio-analysis/3HYsldPuR1FSOfxcKjwAvv,238146,4
0.7,0.158,2,-13.682,1,0.0398,0.817,0.0,0.11,0.329,100.825,audio_features,5yaFcwe34eiPTZhC1PiUPQ,spotify:track:5yaFcwe34eiPTZhC1PiUPQ,https://api.spotify.com/v1/tracks/5yaFcwe34eiPTZhC1PiUPQ,https://api.spotify.com/v1/audio-analysis/5yaFcwe34eiPTZhC1PiUPQ,168739,4
0.541,0.515,7,-3.964,1,0.0248,0.404,0.000194,0.104,0.157,138.1,audio_features,7wsF2a0S5eyJKpx4iFD6TC,spotify:track:7wsF2a0S5eyJKpx4iFD6TC,https://api.spotify.com/v1/tracks/7wsF2a0S5eyJKpx4iFD6TC,https://api.spotify.com/v1/audio-analysis/7wsF2a0S5eyJKpx4iFD6TC,215000,4
0.666,0.599,11,-7.196,1,0.0264,0.741,0.0,0.351,0.645,104.039,audio_features,5tzgLJeeNHz7NNRWhR1L35,spotify:track:5tzgLJeeNHz7NNRWhR1L35,https://api.spotify.com/v1/tracks/5tzgLJeeNHz7NNRWhR1L35,https://api.spotify.com/v1/audio-analysis/5tzgLJeeNHz7NNRWhR1L35,243160,4
0.542,0.441,7,-9.04,1,0.0353,0.647,0.0,0.109,0.163,143.99,audio_features,2m3CrcFgbKUJv2uEFE7ihT,spotify:track:2m3CrcFgbKUJv2uEFE7ihT,https://api.spotify.com/v1/tracks/2m3CrcFgbKUJv2uEFE7ihT,https://api.spotify.com/v1/audio-analysis/2m3CrcFgbKUJv2uEFE7ihT,245440,4
0.587,0.366,7,-7.51,1,0.0344,0.819,0.0,0.121,0.305,117.959,audio_features,5CcqjfODDoSpI1xuTg9NCC,spotify:track:5CcqjfODDoSpI1xuTg9NCC,https://api.spotify.com/v1/tracks/5CcqjfODDoSpI1xuTg9NCC,https://api.spotify.com/v1/audio-analysis/5CcqjfODDoSpI1xuTg9NCC,243733,4
0.46,0.297,9,-8.785,1,0.0309,0.692,0.000318,0.107,0.125,180.095,audio_features,1Ytgo9ipdlTsf6wlg6sXf3,spotify:track:1Ytgo9ipdlTsf6wlg6sXf3,https://api.spotify.com/v1/tracks/1Ytgo9ipdlTsf6wlg6sXf3,https://api.spotify.com/v1/audio-analysis/1Ytgo9ipdlTsf6wlg6sXf3,357094,4
0.692,0.831,9,-5.389,1,0.034,0.0146,0.0,0.103,0.676,114.972,audio_features,1RidHM9BC4M8DpfSQ6YLJh,spotify:track:1RidHM9BC4M8DpfSQ6YLJh,https://api.spotify.com/v1/tracks/1RidHM9BC4M8DpfSQ6YLJh,https://api.spotify.com/v1/audio-analysis/1RidHM9BC4M8DpfSQ6YLJh,224294,4
0.712,0.536,11,-8.961,1,0.0381,0.535,0.0,0.334,0.207,90.011,audio_features,1ghC63dL4Co6i5rVXENFh5,spotify:track:1ghC63dL4Co6i5rVXENFh5,https://api.spotify.com/v1/tracks/1ghC63dL4Co6i5rVXENFh5,https://api.spotify.com/v1/audio-analysis/1ghC63dL4Co6i5rVXENFh5,204215,4
0.587,0.539,7,-9.594,1,0.0446,0.69,0.0,0.161,0.168,168.002,audio_features,77xwukOvyqpUwDQFBNvKNO,spotify:track:77xwukOvyqpUwDQFBNvKNO,https://api.spotify.com/v1/tracks/77xwukOvyqpUwDQFBNvKNO,https://api.spotify.com/v1/audio-analysis/77xwukOvyqpUwDQFBNvKNO,218097,4
0.624,0.375,2,-8.522,1,0.0505,0.751,0.0,0.323,0.521,120.06,audio_features,66YUHByAhvckqMtO9EkJ1J,spotify:track:66YUHByAhvckqMtO9EkJ1J,https://api.spotify.com/v1/tracks/66YUHByAhvckqMtO9EkJ1J,https://api.spotify.com/v1/audio-analysis/66YUHByAhvckqMtO9EkJ1J,221707,4
0.529,0.454,7,-5.499,1,0.0959,0.125,0.0,0.183,0.457,108.316,audio_features,74tswKcYGnbqDd9zbPHAgW,spotify:track:74tswKcYGnbqDd9zbPHAgW,https://api.spotify.com/v1/tracks/74tswKcYGnbqDd9zbPHAgW,https://api.spotify.com/v1/audio-analysis/74tswKcYGnbqDd9zbPHAgW,177181,4
0.747,0.855,0,-2.6,0,0.0288,0.186,2.61e-06,0.0885,0.6,101.996,audio_features,6u4QtlkKJ879ElNlgw0R7M,spotify:track:6u4QtlkKJ879ElNlgw0R7M,https://api.spotify.com/v1/tracks/6u4QtlkKJ879ElNlgw0R7M,https://api.spotify.com/v1/audio-analysis/6u4QtlkKJ879ElNlgw0R7M,226533,4
0.549,0.923,1,-3.857,1,0.0393,0.0295,8.76e-05,0.14,0.498,140.045,audio_features,27FOde2nUw0pFuj7hlPbaS,spotify:track:27FOde2nUw0pFuj7hlPbaS,https://api.spotify.com/v1/tracks/27FOde2nUw0pFuj7hlPbaS,https://api.spotify.com/v1/audio-analysis/27FOde2nUw0pFuj7hlPbaS,292075,4
0.396,0.353,2,-8.91,1,0.0298,0.731,1.1e-06,0.214,0.288,76.276,audio_features,0TKUFEQhIHT6OSc5EhsfMt,spotify:track:0TKUFEQhIHT6OSc5EhsfMt,https://api.spotify.com/v1/tracks/0TKUFEQhIHT6OSc5EhsfMt,https://api.spotify.com/v1/audio-analysis/0TKUFEQhIHT6OSc5EhsfMt,218050,4
0.51,0.552,1,-8.002,1,0.0287,0.232,0.0,0.0936,0.301,84.997,audio_features,4t6xJufZtFgVb0fbjCnWNv,spotify:track:4t6xJufZtFgVb0fbjCnWNv,https://api.spotify.com/v1/tracks/4t6xJufZtFgVb0fbjCnWNv,https://api.spotify.com/v1/audio-analysis/4t6xJufZtFgVb0fbjCnWNv,262588,4
0.631,0.233,8,-13.016,1,0.0329,0.841,3.24e-06,0.228,0.442,91.864,audio_features,3xJK8ywApYVEYIDhymYMC6,spotify:track:3xJK8ywApYVEYIDhymYMC6,https://api.spotify.com/v1/tracks/3xJK8ywApYVEYIDhymYMC6,https://api.spotify.com/v1/audio-analysis/3xJK8ywApYVEYIDhymYMC6,209760,4
0.481,0.795,8,-5.097,1,0.0408,0.0782,0.0,0.1,0.332,160.02,audio_features,1JLtvvPsHwLyd2ufASdkWV,spotify:track:1JLtvvPsHwLyd2ufASdkWV,https://api.spotify.com/v1/tracks/1JLtvvPsHwLyd2ufASdkWV,https://api.spotify.com/v1/audio-analysis/1JLtvvPsHwLyd2ufASdkWV,250005,4
0.787,0.655,2,-6.252,1,0.0335,0.557,0.0,0.0867,0.674,95.006,audio_features,4X5SAZ4JKejo2tPhvCJhZf,spotify:track:4X5SAZ4JKejo2tPhvCJhZf,https://api.spotify.com/v1/tracks/4X5SAZ4JKejo2tPhvCJhZf,https://api.spotify.com/v1/audio-analysis/4X5SAZ4JKejo2tPhvCJhZf,191896,4
0.646,0.535,5,-6.512,0,0.0557,0.142,0.0,0.0503,0.705,118.028,audio_features,1PLpbxdsXDgkVteS5lSwUk,spotify:track:1PLpbxdsXDgkVteS5lSwUk,https://api.spotify.com/v1/tracks/1PLpbxdsXDgkVteS5lSwUk,https://api.spotify.com/v1/audio-analysis/1PLpbxdsXDgkVteS5lSwUk,239987,4
0.658,0.614,0,-5.733,1,0.0279,0.745,0.0,0.112,0.669,129.99,audio_features,4YfDticlwW58vBTV2OB9Z0,spotify:track:4YfDticlwW58vBTV2OB9Z0,https://api.spotify.com/v1/tracks/4YfDticlwW58vBTV2OB9Z0,https://api.spotify.com/v1/audio-analysis/4YfDticlwW58vBTV2OB9Z0,246560,4
0.593,0.0245,2,-22.322,1,0.0382,0.971,1.01e-06,0.0756,0.273,85.04,audio_features,5U02MVv6SGMigHeyKYC309,spotify:track:5U02MVv6SGMigHeyKYC309,https://api.spotify.com/v1/tracks/5U02MVv6SGMigHeyKYC309,https://api.spotify.com/v1/audio-analysis/5U02MVv6SGMigHeyKYC309,225656,4
0.568,0.525,6,-6.473,1,0.0235,0.678,0.0,0.134,0.404,96.007,audio_features,0qkMJO5YJRU22PATHZsH1U,spotify:track:0qkMJO5YJRU22PATHZsH1U,https://api.spotify.com/v1/tracks/0qkMJO5YJRU22PATHZsH1U,https://api.spotify.com/v1/audio-analysis/0qkMJO5YJRU22PATHZsH1U,232973,4
0.572,0.406,10,-8.624,1,0.0427,0.587,4.48e-06,0.102,0.265,119.812,audio_features,2nC3QhMI9reBIOWutbU3Tj,spotify:track:2nC3QhMI9reBIOWutbU3Tj,https://api.spotify.com/v1/tracks/2nC3QhMI9reBIOWutbU3Tj,https://api.spotify.com/v1/audio-analysis/2nC3QhMI9reBIOWutbU3Tj,201084,4
0.486,0.411,6,-5.623,1,0.0374,0.747,0.0,0.342,0.364,139.914,audio_features,5oL7vOxCz2eJKAX6G4Yluh,spotify:track:5oL7vOxCz2eJKAX6G4Yluh,https://api.spotify.com/v1/tracks/5oL7vOxCz2eJKAX6G4Yluh,https://api.spotify.com/v1/audio-analysis/5oL7vOxCz2eJKAX6G4Yluh,260093,4
