"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1ZEOIhSn6BKErV59bIgn76","California Dreamin'","spotify:artist:1bs7HoMkSyQwcobCpE9KpN","The Mamas & The Papas","spotify:album:6d9b6qTmzQ2WOOGB2cDCDq","All The Leaves Are Brown The Golden Era Collection","spotify:artist:1bs7HoMkSyQwcobCpE9KpN","The Mamas & The Papas","2001-08-28","https://i.scdn.co/image/ab67616d0000b273cbd56c3a8faf8cf8c8bea0df","1","7","160373","https://p.scdn.co/mp3-preview/c89fa2a528d3c6dba89f5462d8449b9dfb04b298?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","USMC16532697","spotify:user:11163610462","2023-01-02T07:17:07Z"
"spotify:track:29U7stRjqHU6rMiS8BfaI9","What A Wonderful World","spotify:artist:19eLuQmk9aCobbVDHc6eek","Louis Armstrong","spotify:album:6mmv0gwumlFGWDGJXF4yEv","What A Wonderful World","spotify:artist:19eLuQmk9aCobbVDHc6eek","Louis Armstrong","1968-01-01","https://i.scdn.co/image/ab67616d0000b273845a5660b804e5f3e821fbed","1","1","139226","https://p.scdn.co/mp3-preview/2bad8a4f6931187806e7a48bf760bffed4e0f091?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","USMC16758823","spotify:user:11163610462","2023-01-02T07:16:55Z"
"spotify:track:561F1zqRwGPCTMRsLsXVtL","Time in a Bottle","spotify:artist:1R6Hx1tJ2VOUyodEpC12xM","Jim Croce","spotify:album:3L9sVl5T7UpFK6tNeEiXdy","You Don't Mess Around With Jim","spotify:artist:1R6Hx1tJ2VOUyodEpC12xM","Jim Croce","1972-04-01","https://i.scdn.co/image/ab67616d0000b27398078d325c25a5ac4081cfba","1","8","146175","https://p.scdn.co/mp3-preview/9644f771a2cca7759cb7af6ffc26e6c19275aae3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","GBAJE7200780","spotify:user:11163610462","2023-01-02T07:24:55Z"
"spotify:track:5BaDwxvxYqV0lMDfkXFxhm","Sunny","spotify:artist:0QRgfCLzSR9GyCjXboWQTA","Chris Montez","spotify:album:0EXNcTV6hfn1b6sl9ML1WZ","Time After Time","spotify:artist:0QRgfCLzSR9GyCjXboWQTA","Chris Montez","1966-01-01","https://i.scdn.co/image/ab67616d0000b273ef31a8d1cd5b3a3eee134ef1","1","3","169000","https://p.scdn.co/mp3-preview/a9c1c737e2fcd0c5401a1d29b38df4fc6bbd3639?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","USAM16674776","spotify:user:11163610462","2023-01-02T07:27:13Z"
"spotify:track:5dUMh0ugelpKfoFp3qChuK","Hit the Road Jack","spotify:artist:1eYhYunlNJlDoQhtYBvPsi","Ray Charles","spotify:album:7gvxyetkX6vkoMyDkDM6ls","True Genius","spotify:artist:1eYhYunlNJlDoQhtYBvPsi","Ray Charles","2021-09-10","https://i.scdn.co/image/ab67616d0000b2734448e36a9ef845b705d80a0d","1","8","119880","https://p.scdn.co/mp3-preview/9ab84ea0b0a8813db8b9220420ae7079dc490ff8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","QZR8K2111005","spotify:user:11163610462","2023-01-02T07:30:30Z"
"spotify:track:7feSpkvB1CSTRzsj3yZelo","I Can't Take My Eyes Off You","spotify:artist:7ylX0wSHMxslYD0Tr3SXNG, spotify:artist:58dTi4Xr0bd6yd8XKgimAr","Denise King, Massimo Faraò Trio","spotify:album:3Eajl3vHM9mZ4r6iNhwGHH","My 100 Soul(s)","spotify:artist:7ylX0wSHMxslYD0Tr3SXNG, spotify:artist:58dTi4Xr0bd6yd8XKgimAr","Denise King, Massimo Faraò Trio","2017-05-11","https://i.scdn.co/image/ab67616d0000b27363f8682948aec00f8d5256f1","1","48","199707","https://p.scdn.co/mp3-preview/5e8c468ed5ffec808c1f4f41f8a44b0ba0317895?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","ITS041601461","spotify:user:11163610462","2023-01-02T07:50:15Z"
"spotify:track:3wM6RTAnF7IQpMFd7b9ZcL","Yesterday Once More","spotify:artist:1eEfMU2AhEo7XnKgL7c304","Carpenters","spotify:album:0A7WaXRUZ2fkHtUYfeoF73","Now & Then (Reissue)","spotify:artist:1eEfMU2AhEo7XnKgL7c304","Carpenters","1973-05-01","https://i.scdn.co/image/ab67616d0000b273eafa3ccf2f56bfbb6f4f1ba5","1","6","233533","https://p.scdn.co/mp3-preview/5c985cc170a3fd9fa91484f3b88e3de0e1ab3a13?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","USAM17300051","spotify:user:11163610462","2023-01-02T07:55:12Z"
"spotify:track:44AyOl4qVkzS48vBsbNXaC","Can't Help Falling in Love","spotify:artist:43ZHCT0cAZBISjO8DG9PnE","Elvis Presley","spotify:album:7xe8VI48TxUpU1IIo0RfGi","Blue Hawaii","spotify:artist:43ZHCT0cAZBISjO8DG9PnE","Elvis Presley","1961-10-20","https://i.scdn.co/image/ab67616d0000b273f96cefb0197694ad440c3314","1","5","182360","https://p.scdn.co/mp3-preview/962e228fc976da0f39439d99893b3d7151031577?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","USRC16101350","spotify:user:11163610462","2023-01-02T07:59:03Z"
"spotify:track:0S8ibKBl3tjRmYbZhGHNhG","Only You (And You Alone)","spotify:artist:6KWcxMWVNVIYbdOQyJtsSy","The Platters","spotify:album:7l3vhUqMYbu62TIKSocf4B","The Platters Golden Hits","spotify:artist:6KWcxMWVNVIYbdOQyJtsSy","The Platters","1986-01-01","https://i.scdn.co/image/ab67616d0000b273e5a3d1258466fac94bfd755f","1","1","156560","https://p.scdn.co/mp3-preview/2dddd9741f15143a1cfe8b89438cf6bcd5115f3f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","USPR38605201","spotify:user:11163610462","2023-01-02T08:03:51Z"
"spotify:track:3BQHpFgAp4l80e1XslIjNI","Yesterday - Remastered 2009","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","spotify:album:0PT5m6hwPRrpBwIHVnvbFX","Help! (Remastered)","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","1965-08-06","https://i.scdn.co/image/ab67616d0000b273e3e3b64cea45265469d4cafa","1","13","125666","https://p.scdn.co/mp3-preview/03f6329149ddbbfe39f5f025edf22987970a08ca?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","GBAYE0601477","spotify:user:11163610462","2023-01-02T08:58:04Z"
"spotify:track:1Ehdm1PDlKrdfyBsjwEvd1","Top Of The World","spotify:artist:1eEfMU2AhEo7XnKgL7c304","Carpenters","spotify:album:1nA6Exnq2mWD8678q3E4Ov","A Song For You","spotify:artist:1eEfMU2AhEo7XnKgL7c304","Carpenters","1972","https://i.scdn.co/image/ab67616d0000b27375fc0e961ba2028df4787966","1","2","179173","https://p.scdn.co/mp3-preview/80762f7aa08153bef800c08b6b53d3a915838ec2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","USAM17200071","spotify:user:11163610462","2023-01-02T10:09:21Z"
"spotify:track:5DTOOkooKFUvWj1XQTFa09","The End of the World","spotify:artist:5b2OzvLaL6nyxw5pbVbSdy","Skeeter Davis","spotify:album:3KwArr7JHl7ykUNYrrja7N","The Essential Skeeter Davis","spotify:artist:5b2OzvLaL6nyxw5pbVbSdy","Skeeter Davis","1994-05-23","https://i.scdn.co/image/ab67616d0000b273c4c4a5d82534d5e6b2ed349a","1","9","157573","https://p.scdn.co/mp3-preview/66fd121a81b7c0f61c989e16de60c2177de1ceb1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","USRC19901069","spotify:user:11163610462","2023-01-02T10:14:38Z"
"spotify:track:5GorCbAP4aL0EJ16frG2hd","Boulevard of Broken Dreams","spotify:artist:7oPftvlwr6VrsViSDV7fJY","Green Day","spotify:album:3id4t9IqRoB1f1smOERtrY","Greatest Hits: God's Favorite Band","spotify:artist:7oPftvlwr6VrsViSDV7fJY","Green Day","2017-11-17","https://i.scdn.co/image/ab67616d0000b2737f213369d5265a60af5f7e82","1","14","262333","https://p.scdn.co/mp3-preview/258775e7324ab09be650b91d322d22948ed9df1a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","75","USRE10400985","spotify:user:11163610462","2023-01-02T12:15:54Z"
"spotify:track:6zeE5tKyr8Nu882DQhhSQI","Dust in the Wind","spotify:artist:2hl0xAkS2AIRAu23TVMBG1","Kansas","spotify:album:6oU298pdPTCQnMx1PYwyUA","Point Of Know Return (Expanded Edition)","spotify:artist:2hl0xAkS2AIRAu23TVMBG1","Kansas","1977","https://i.scdn.co/image/ab67616d0000b27359f0f56a7cd13526b5b4204c","1","7","206266","https://p.scdn.co/mp3-preview/ddfc248171b5199053bafdefbc94ab5b335faa48?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","USSM10103196","spotify:user:11163610462","2023-01-17T14:25:41Z"
"spotify:track:1JO1xLtVc8mWhIoE3YaCL0","Happy Together","spotify:artist:2VIoWte1HPDbZ2WqHd2La7","The Turtles","spotify:album:2pMxs38Y5A0mmHrcu3twvB","Happy Together","spotify:artist:2VIoWte1HPDbZ2WqHd2La7","The Turtles","1967","https://i.scdn.co/image/ab67616d0000b27372649ad8e79d1e8bdd54c929","1","6","176293","https://p.scdn.co/mp3-preview/8c691e6232f9abae21be72ed15407fd90657a73e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","USA560587940","spotify:user:11163610462","2023-01-20T00:58:47Z"
"spotify:track:48i055G1OT5KxGGftwFxWy","Oh, Pretty Woman","spotify:artist:0JDkhL4rjiPNEp92jAgJnS","Roy Orbison","spotify:album:2jTbcSPVTBRAoc3mHU6hy0","Oh, Pretty Woman","spotify:artist:0JDkhL4rjiPNEp92jAgJnS","Roy Orbison","1962","https://i.scdn.co/image/ab67616d0000b2731b3c09cb3ec9f618664f2622","1","1","178933","https://p.scdn.co/mp3-preview/246e9dc1fb2676bdacceaa564e46967ed000afef?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","USSM16401425","spotify:user:11163610462","2023-01-20T01:07:26Z"
